file,corruption,mode,count,valid_caption_rate,invalid_output_rate,caption_class_hit,caption_topk_class_hit,avg_caption_length,distinct_caption_count,repetition_rate,real_minus_vision,real_minus_shuffled,real_minus_random,route,variant
Route5_Qwen2VL_full_adapter/eval/clean_vision_only.jsonl,clean,vision_only,1997,0.9949924887330996,0.005007511266900355,0.556334501752629,0.6014021031547321,8.57135703555333,341,0.23285322033444217,0.009514271407110586,0.013019529293940901,0.0325488232348522,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/clean_real_eeg.jsonl,clean,real_eeg,1997,0.9939909864797196,0.006009013520280382,0.5658487731597396,0.6039058587881823,8.419128693039559,985,0.23218197815093158,0.009514271407110586,0.013019529293940901,0.0325488232348522,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/clean_shuffled_eeg.jsonl,clean,shuffled_eeg,1997,0.9919879819729595,0.008012018027040546,0.5528292438657987,0.6224336504757135,8.408112168252378,1351,0.23256779941807484,0.009514271407110586,0.013019529293940901,0.0325488232348522,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/clean_random_eeg.jsonl,clean,random_eeg,1997,0.9929894842263395,0.0070105157736605195,0.5332999499248874,0.5883825738607912,8.690035052578867,1102,0.23689107170579382,0.009514271407110586,0.013019529293940901,0.0325488232348522,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/clean_eeg_only.jsonl,clean,eeg_only,1997,0.8202303455182774,0.17976965448172255,0.1442163244867301,0.4266399599399099,9.515272909364047,1278,0.21834609223192097,0.009514271407110586,0.013019529293940901,0.0325488232348522,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/lowres16_vision_only.jsonl,lowres16,vision_only,1997,0.8958437656484727,0.10415623435152732,0.11767651477215824,0.38507761642463695,8.448673009514271,258,0.248676137471831,0.08062093139709564,0.11417125688532799,0.1041562343515273,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/lowres16_real_eeg.jsonl,lowres16,real_eeg,1997,0.8097145718577867,0.19028542814221328,0.19829744616925388,0.385578367551327,7.982974461692539,1163,0.22679909530184944,0.08062093139709564,0.11417125688532799,0.1041562343515273,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/lowres16_shuffled_eeg.jsonl,lowres16,shuffled_eeg,1997,0.799699549323986,0.20030045067601399,0.08412618928392589,0.36955433149724587,8.102653980971457,1287,0.22686175867197397,0.08062093139709564,0.11417125688532799,0.1041562343515273,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/lowres16_random_eeg.jsonl,lowres16,random_eeg,1997,0.9489233850776164,0.05107661492238358,0.09414121181772658,0.32398597896845266,8.675012518778168,912,0.2585515413757777,0.08062093139709564,0.11417125688532799,0.1041562343515273,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
Route5_Qwen2VL_full_adapter/eval/lowres16_eeg_only.jsonl,lowres16,eeg_only,1997,0.8708062093139709,0.1291937906860291,0.16725087631447172,0.542814221331998,9.813720580871307,1222,0.2020259326719016,0.08062093139709564,0.11417125688532799,0.1041562343515273,route5_qwenvl_adapter,Route5_Qwen2VL_full_adapter
