file,corruption,mode,count,valid_caption_rate,invalid_output_rate,caption_class_hit,caption_topk_class_hit,avg_caption_length,distinct_caption_count,repetition_rate,real_minus_vision,real_minus_shuffled,real_minus_random,variant,caption_target_strategy
Route5_Qwen2VL_lora_r8_T1_class_only/eval/clean_vision_only.jsonl,clean,vision_only,1997,0.9689534301452178,0.031046569854782158,0.5878818227341012,0.7976965448172258,10.009013520280421,248,0.24299381973392986,-0.02003004506760142,0.025037556334501776,-0.03254882323485231,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/clean_real_eeg.jsonl,clean,real_eeg,1997,0.9614421632448673,0.03855783675513269,0.5678517776664997,0.7936905358037055,9.895843765648472,608,0.23922475732691054,-0.02003004506760142,0.025037556334501776,-0.03254882323485231,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/clean_shuffled_eeg.jsonl,clean,shuffled_eeg,1997,0.9644466700050075,0.0355533299949925,0.542814221331998,0.785177766649975,9.953930896344517,752,0.24147864042706307,-0.02003004506760142,0.025037556334501776,-0.03254882323485231,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/clean_random_eeg.jsonl,clean,random_eeg,1997,0.9849774661992989,0.015022533800701066,0.600400600901352,0.8152228342513771,9.910866299449173,577,0.2374167561698859,-0.02003004506760142,0.025037556334501776,-0.03254882323485231,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/clean_eeg_only.jsonl,clean,eeg_only,1997,0.9509263895843766,0.049073610415623414,0.16825237856785177,0.6765147721582374,10.72158237356034,501,0.22896454238467256,-0.02003004506760142,0.025037556334501776,-0.03254882323485231,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/lowres16_vision_only.jsonl,lowres16,vision_only,1997,0.9839759639459189,0.016024036054081092,0.16124186279419128,0.5312969454181272,8.913870806209314,159,0.287972775291253,0.10065097646469706,0.13019529293940912,0.10465698547821733,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/lowres16_real_eeg.jsonl,lowres16,real_eeg,1997,0.970956434651978,0.029043565348021994,0.26189283925888834,0.6419629444166249,9.758137205808714,507,0.27724362934678404,0.10065097646469706,0.13019529293940912,0.10465698547821733,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/lowres16_shuffled_eeg.jsonl,lowres16,shuffled_eeg,1997,0.9744616925388082,0.02553830746119179,0.13169754631947922,0.6469704556835253,9.7085628442664,584,0.2788617991922949,0.10065097646469706,0.13019529293940912,0.10465698547821733,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/lowres16_random_eeg.jsonl,lowres16,random_eeg,1997,0.9729594391587381,0.02704056084126194,0.157235853780671,0.7035553329994992,9.4371557336004,456,0.3011864380542398,0.10065097646469706,0.13019529293940912,0.10465698547821733,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
Route5_Qwen2VL_lora_r8_T1_class_only/eval/lowres16_eeg_only.jsonl,lowres16,eeg_only,1997,0.9243865798698047,0.07561342013019534,0.16074111166750124,0.5087631447170756,11.921882824236354,647,0.2109133480440441,0.10065097646469706,0.13019529293940912,0.10465698547821733,Route5_Qwen2VL_lora_r8_T1_class_only,T1_class_only
